video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=WcPGOzcXhGM&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@UWFosterSchool,UW Foster School of Business,Teams and study groups in the UW Foster School Hybrid MBA Program,328,5 years,"Hybrid MBA alumni Nathan Chapel, Sushma Rao, and Marta LaCroix talk about teams in the program. Learn more about Foster's ...",2026-01-22 07:27:41.959669
/shorts/9xBwqs4ZKIQ,/@UWFosterSchool,UW Foster School of Business,Foster MSIS in 3 Words,71,3 months,"Three words that define the experience at our UW Foster Master of Science in Information Systems (MSIS) program, straight from ...",2026-01-22 07:27:41.960975
/watch?v=oaYPNuTcQWE&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@UWFosterSchool,UW Foster School of Business,The University of Washington Global Executive MBA Experience,648,3 years,Hear from recent UW Foster School of Business Global Executive MBA graduates about their experience in the program. #MBA ...,2026-01-22 07:27:41.962243
/watch?v=MCq5jfFevjM&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@UWFosterSchool,UW Foster School of Business,Industry meets academia - UW Engineering Leadership Institute,38,1 month,Elevate your career and become a leader in your organization with the Engineering Leadership Certificate from the University of ...,2026-01-22 07:27:41.963444
/shorts/Z1Ckz_S4l2M,/@UWFosterSchool,UW Foster School of Business,There’s no real business without risk.,58,4 months,"For Jim Berg, our Technology Management MBA program was like a sandbox to test ideas, take risks, and immediately apply what ...",2026-01-22 07:27:41.964606
/watch?v=Bb7lfIz4YqE&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@wisconsinschoolofbusiness,Wisconsin School of Business at UW–Madison,Preparing Students for Business Analytics Careers,1.7K,6 years,Business analytics professionals are in high demand as companies need to leverage their data. The MS in business analytics ...,2026-01-22 07:27:41.966263
/watch?v=DTgG1JzWSAQ&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@UWFosterSchool,UW Foster School of Business,Why Now Might Be the Perfect Time for an MBA,131,6 months,"An MBA is more than just a degree, it's a powerful way to unlock new opportunities and reshape your career path. In this video ...",2026-01-22 07:27:41.967326
/watch?v=526BTNpHu2Q&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@wisconsinschoolofbusiness,Wisconsin School of Business at UW–Madison,WSB at 125: A Legacy in Motion | Sneak Peek,80,7 months,"Rooted in transformation. Redefining what's possible. As one of the first business schools in the nation, the Wisconsin School of ...",2026-01-22 07:27:41.968480
/watch?v=-_49Z-pxtUU&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@UWFosterSchool,UW Foster School of Business,UW Founders Hall Fly-through,1.7K,6 years,Founders Hall will be joining the UW Foster School of Business in 2021 Learn more about UW Foster School of Business ...,2026-01-22 07:27:41.970459
/watch?v=VcpcoQGXLkg&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@UWFosterSchool,UW Foster School of Business,"Foster School of Business Student Profile: Julia Robinson, Evening MBA",664,4 years,Julia moved to the United States to begin a human resources career but quickly discovered that in order to advance she needed ...,2026-01-22 07:27:41.971589
/watch?v=MY38k5vqwZw&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@wisconsinschoolofbusiness,Wisconsin School of Business at UW–Madison,At the Forefront of New Business Insights | Trusted to Lead | Wisconsin School of Business,163,1 year,Curiosity is an unstoppable force. Meet 11 Wisconsin School of Business faculty powering new business insights through ...,2026-01-22 07:27:41.972807
/watch?v=nhAwezJ-hpo&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s0gcJCYcKAYcqIYzv,/@wisconsinschoolofbusiness,Wisconsin School of Business at UW–Madison,Wisconsin School of Business | The Next Generation of Entrepreneurs | UW–Madison,520,4 years,"Destiny isn't written. Meet Kyle Nakatsuji, Reena Vokoun, and Jake Wood, entrepreneurs who relentlessly push the boundaries of ...",2026-01-22 07:27:41.973930
/watch?v=ol96E_qIw-Y&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@wisconsinschoolofbusiness,Wisconsin School of Business at UW–Madison,Specialized MBA from UW-Madison: Set Yourself Apart,3.8K,10 years,http://bus.wisc.edu/mba The Wisconsin MBA Program gives you a recruiting and hiring advantage through specialization.,2026-01-22 07:27:41.975735
/watch?v=zeR9OEClnf4&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@UWFosterSchool,UW Foster School of Business,"Foster School of Business Alumna Profile: Claire Herting, Full-time MBA",612,3 years,"For Claire Herting, Foster's supportive community means learning from classmates and helping each other to do better as ...",2026-01-22 07:27:51.214211
/watch?v=aKbOCQJ5BiE&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@UWVideo,UW Video,UW Foster Executive MBA,407,7 years,You have more time for an Executive MBA than you think! Hear graduating students Constance von Muehlen and Annie Zilius talk ...,2026-01-22 07:27:51.215533
/watch?v=KxDN16FGc1s&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@UWMadSoHE,University of Wisconsin: School of Human Ecology,Personal Finance Major at the UW-Madison School of Human Ecology,4.7K,10 years,Discover how we can help you turn your knack for numbers and understanding of people into a future you can be excited about.,2026-01-22 07:27:51.216656
/watch?v=SPL9gayKk2k&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@tiltmedia1,Tilt Media Inc.,University of Wisconsin School of Business - Vanessa's Story,433,10 years,The UW Madison School of Business wanted to find success stories of scholarship recipients and Vanessa was an obvious first ...,2026-01-22 07:27:51.217832
/watch?v=S5ddLeEVfvY&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@UWFosterSchool,UW Foster School of Business,Foster Insights - Andy Hafenbrack,2K,3 years,"Foster Insights Creating Better Workplaces and Better Lives Andy Hafenbrack, Assistant Professor of Organizational Behavior ...",2026-01-22 07:27:51.221650
/watch?v=xhmW6jxDwO4&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@UWFosterSchool,UW Foster School of Business,UW Foster School alum Anish Singhi talks about the Hybrid MBA program format,282,5 years,Learn more about Foster's Hybrid MBA program at https://foster.uw.edu/hybridmba.,2026-01-22 07:27:51.222819
/watch?v=FbPKQQtsdyc&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@UWFosterSchool,UW Foster School of Business,Master of Science in Entrepreneurship at the UW Foster School of Business,645,2 years,Learn more from our community of entrepreneurs about what our Master of Science in Entrepreneurship program can do for you.,2026-01-22 07:27:51.224417
/watch?v=8En6SfSVjW8&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@wisconsinschoolofbusiness,Wisconsin School of Business at UW–Madison,The Evening MBA Program at UW-Madison: Advance Your Career While You Work,2.4K,10 years,http://bus.wisc.edu/evening-mba Earn a top-rated general management MBA alongside other driven professionals in the ...,2026-01-22 07:27:51.225495
/shorts/9fs6gvhHV0o,/@UWFosterSchool,UW Foster School of Business,Good luck on your finals!,91,1 month,The squirrel was a paid actor.,2026-01-22 07:27:51.226630
/watch?v=ZuzQqpZ-tYA&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@wisconsinschoolofbusiness,Wisconsin School of Business at UW–Madison,"Charlie Forbes, BBA ’23 | Trusted to Lead | Wisconsin School of Business",195,2 years,"Meet Charlie Forbes, a Wisconsin School of Business undergraduate student who is merging finance and politics to bring a ...",2026-01-22 07:27:51.229892
/watch?v=B53qPyhSd9Q&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@uwbuerkcenter,Buerk Center,Creating a Company ENTRE 472 in the University of Washington's Foster School of Business,738,6 years,The two-part Creating A Company class is a key component of the Entrepreneurship Minor for non-business students and is ...,2026-01-22 07:27:51.233416
/watch?v=MXs1ADz90HM&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@wisconsinschoolofbusiness,Wisconsin School of Business at UW–Madison,Connect with Industry Leaders | Marketing Leadership Institute | Wisconsin School of Business,316,2 years,"Through the Marketing Leadership Institute (MLI) at the Wisconsin School of Business, students get an unparalleled opportunity to ...",2026-01-22 07:27:51.234609
/watch?v=26z8tAOZqvk&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@UWFosterSchool,UW Foster School of Business,Unlocking Career Opportunities and Building Meaningful Connections in Foster's Hybrid MBA Program,227,1 year,"David Yan, a student from the University of Washington's Foster School of Business Hybrid MBA program shares their ...",2026-01-22 07:27:51.235764
/watch?v=iAvtjJpESJc&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@wisconsinschoolofbusiness,Wisconsin School of Business at UW–Madison,Careers in Brand & Marketing Management | Marketing MBA | Wisconsin School of Business,429,2 years,Create brand strategies that shape the future. Learn how the Wisconsin Full-time MBA can set you up on a path to the C-suite with ...,2026-01-22 07:27:51.236853
/watch?v=1lLHcsODylQ&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@wisconsinschoolofbusiness,Wisconsin School of Business at UW–Madison,The Power of Hands-On Learning | Marketing Leadership Institute | Wisconsin School of Business,186,2 years,Experience the power of Wisconsin's applied learning—real-life marketing scenarios encountered in the classroom through ...,2026-01-22 07:27:51.240128
/watch?v=SmdCHxXBOIs&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@wmtv15news,"WMTV | News, Weather & Sports",UW business school professor writes new book about growing enterprise,18,1 year,A UW business school professor has written a new book called “Creating the long-term plan for growing enterprise.” For more ...,2026-01-22 07:27:51.241852
